name,latitude,longitude,date_of_occurrence
BATTERY,41.800863342,-87.664766276,2024-07-14T11:40:00.000
MOTOR VEHICLE THEFT,41.946098579,-87.705350811,2024-07-14T11:50:00.000
THEFT,41.897033465,-87.684428795,2024-07-14T11:51:00.000
THEFT,41.906763691,-87.650679924,2024-07-14T11:57:00.000
DECEPTIVE PRACTICE,41.754592961,-87.741528537,2024-07-14T11:57:00.000
OTHER OFFENSE,41.858543061,-87.676775217,2024-07-14T11:57:00.000
DECEPTIVE PRACTICE,41.932778447,-87.645996134,2024-07-14T12:00:00.000
THEFT,41.861359279,-87.694400341,2024-07-14T12:00:00.000
THEFT,41.917895515,-87.687417767,2024-07-14T12:00:00.000
CRIMINAL DAMAGE,41.881441785,-87.667837814,2024-07-14T12:00:00.000
THEFT,41.702737032,-87.535974085,2024-07-14T12:00:00.000
MOTOR VEHICLE THEFT,41.808990794,-87.70642393,2024-07-14T12:00:00.000
MOTOR VEHICLE THEFT,41.938964168,-87.652949847,2024-07-14T12:00:00.000
OTHER OFFENSE,41.774589975,-87.693275244,2024-07-14T12:00:00.000
DECEPTIVE PRACTICE,42.011635269,-87.809782765,2024-07-14T12:00:00.000
THEFT,41.914612212,-87.702003867,2024-07-14T12:00:00.000
THEFT,41.997202906,-87.725560379,2024-07-14T12:00:00.000
MOTOR VEHICLE THEFT,41.878789452,-87.650768433,2024-07-14T12:00:00.000
DECEPTIVE PRACTICE,41.91623799,-87.749421329,2024-07-14T12:00:00.000
DECEPTIVE PRACTICE,41.940110817,-87.640032871,2024-07-14T12:00:00.000
DECEPTIVE PRACTICE,41.994913946,-87.881937669,2024-07-14T12:00:00.000
BATTERY,41.911357491,-87.754050825,2024-07-14T12:01:00.000
CRIMINAL TRESPASS,41.894465726,-87.624241063,2024-07-14T12:02:00.000
BATTERY,41.830890037,-87.635503335,2024-07-14T12:05:00.000
BATTERY,41.743942175,-87.60662908,2024-07-14T12:15:00.000
ASSAULT,41.968538551,-87.697971014,2024-07-14T12:16:00.000
